fountaintype,position,propname,borough,fountaincount,district,point
CS Metal,"In Playground, Under Tree",Union Square Park,M,2,"CS Metal, In Playground, Under Tree"," (-73.9896199036449,40.736267040668835)"
CS Metal,"In Playground, Near Ballfield",St. Nicholas Playground North,M,2,"CS Metal, In Playground, Near Ballfield"," (-73.9464262668979,40.81219581829241)"
F High Low,In Playground,Montbellier Park,Q,2,"F High Low, In Playground"," (-73.75693440722569,40.67393397842267)"
C,Under Tree,Flushing Meadows Corona Park,Q,2,"C, Under Tree"," (-73.84714009945814,40.76093415618858)"
Indoor Drinking Fountain,Indoor,Marcus Garvey Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.9448599853589,40.804985139107565)"
A,Under Tree,Twenty-Four Sycamores Park,M,1,"A, Under Tree"," (-73.95863978110792,40.75947181345196)"
E,"Just Outside Playground, Under Tree, In Shade",Central Park,M,1,"E, Just Outside Playground, Under Tree, In Shade"," (-73.96817436878106,40.78410008106517)"
E High Low,"Under Tree, In Shade, In Playground",Lafayette Playground,B,2,"E High Low, Under Tree, In Shade, In Playground"," (-73.98579486452593,40.59444142217578)"
A,Near Ballfield,Dyker Beach Park,B,1,"A, Near Ballfield"," (-74.01372754864838,40.611367798412836)"
C,In Playground,Carl Schurz Park,M,1,"C, In Playground"," (-73.9444885031784,40.774097113819124)"
CS Concrete,In Playground,Terrace Playground,R,1,"CS Concrete, In Playground"," (-74.0983171666301,40.61354344211423)"
Trough,Out in Open,The High Line,M,1,"Trough, Out in Open"," (-74.00711904920529,40.74334003734886)"
A,Out in Open,Wingate Park,B,1,"A, Out in Open"," (-73.94362772889228,40.65881205407559)"
Indoor Drinking Fountain,Indoor,St. James Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.89902126595982,40.86455021036313)"
F High Low,Near Ballfield,McKinley Park,B,2,"F High Low, Near Ballfield"," (-74.01761799859528,40.62543682198027)"
D,Under Tree,Starr Playground,Q,1,"D, Under Tree"," (-73.91771284257594,40.70988872280677)"
Indoor Drinking Fountain,Indoor,Canarsie Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.8959721212345,40.62896178334323)"
A,"Under Tree, In Playground",Playground of the Americas,M,1,"A, Under Tree, In Playground"," (-74.00275612463598,40.72807030309)"
CS Metal,In Shade,Macombs Dam Park,X,2,"CS Metal, In Shade"," (-73.92964775718107,40.828240226777154)"
D,Under Tree,Lincoln Terrace / Arthur S. Somers Park,B,1,"D, Under Tree"," (-73.92553526880458,40.66688764171484)"
A,"Under Tree, Out in Open, In Shade, Near Ballfield",100% Playground,B,1,"A, Under Tree, Out in Open, In Shade, Near Ballfield"," (-73.89937817405307,40.64654090707362)"
A,"Under Tree, Near Ballfield, In Playground",Tompkins Square Park,M,1,"A, Under Tree, Near Ballfield, In Playground"," (-73.98188995997576,40.727551751518924)"
E,"Out in Open, Just Outside Playground",Steeplechase Park,B,1,"E, Out in Open, Just Outside Playground"," (-73.98338790770765,40.57337794992175)"
D,In Playground,Bloomingdale Park,R,1,"D, In Playground"," (-74.20873374868783,40.53520632757425)"
C,"Just Outside Playground, Out in Open",Bathgate Playground,X,1,"C, Just Outside Playground, Out in Open"," (-73.8945295242576,40.852533317230275)"
A,Near Ballfield,Pelham Bay Park,X,1,"A, Near Ballfield"," (-73.80072517896106,40.85821797126637)"
E,"Under Tree, Near Ballfield",Sara D. Roosevelt Park,M,1,"E, Under Tree, Near Ballfield"," (-73.99461515345145,40.71613973667162)"
Indoor Drinking Fountain,Indoor,Bronx Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.87039306855597,40.84714198381656)"
A,"Near Ballfield, Under Tree",Canarsie Park,B,1,"A, Near Ballfield, Under Tree"," (-73.89447649456197,40.6280522780737)"
A,"Near Ballfield, Just Outside Playground",Holcombe Rucker Park,M,1,"A, Near Ballfield, Just Outside Playground"," (-73.93599229195567,40.82899114017407)"
A,Near Ballfield,Juniper Valley Park,Q,1,"A, Near Ballfield"," (-73.87923412561696,40.721123090593046)"
A,"Under Tree, In Shade, In Playground",Kissena Corridor Park,Q,1,"A, Under Tree, In Shade, In Playground"," (-73.8215463787203,40.746353110679316)"
A,Out in Open,Crotona Park,X,1,"A, Out in Open"," (-73.89813659565466,40.84023897348271)"
A,Out in Open,Markham Playground,R,1,"A, Out in Open"," (-74.14577996568653,40.62414998147482)"
Indoor Drinking Fountain,Indoor,Jennifer's Playground,R,1,"Indoor Drinking Fountain, Indoor"," (-74.1635101117596,40.62033431367102)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.98050646965459,40.572981782302094)"
D,Out in Open,Marble Hill Playground,X,1,"D, Out in Open"," (-73.9080427371963,40.87752470260543)"
E High Low,Just Outside Playground,Forest Park,Q,2,"E High Low, Just Outside Playground"," (-73.86805122557668,40.702565069641025)"
Pedestal,Out in Open,Randall's Island Park,M,1,"Pedestal, Out in Open"," (-73.9239462429893,40.80049760961005)"
C,Under Tree,Walter Ward Playground,Q,1,"C, Under Tree"," (-73.84353889728919,40.657254825557864)"
Trough,,Hunter's  South Park,Q,1,"Trough,"," (-73.9600466067289,40.74006392468814)"
Other,Out_in_Open,Triborough Bridge Playground C,Q,1,"Other, Out_in_Open"," (-73.92231615664042,40.77383393734388)"
A,"Under Tree, Near Ballfield, Just Outside Playground",Frederick Douglass Playground,M,1,"A, Under Tree, Near Ballfield, Just Outside Playground"," (-73.96770918214574,40.7973676384044)"
D,"Out in Open, In Playground",Pulaski Park,X,1,"D, Out in Open, In Playground"," (-73.92396265194681,40.805159502467724)"
C,"Under Tree, In Shade, In Playground",Brighton Playground,B,1,"C, Under Tree, In Shade, In Playground"," (-73.9651751625904,40.57525414878576)"
A,Out in Open,Alley Park,Q,1,"A, Out in Open"," (-73.74463703461404,40.74790938362427)"
C,In Playground,Grover Cleveland Playground,Q,1,"C, In Playground"," (-73.91140341165196,40.71101244435891)"
A,"Under Tree, In Playground",Colucci Playground,X,1,"A, Under Tree, In Playground"," (-73.83518761032232,40.85219651668232)"
Indoor Drinking Fountain,Indoor,Recreation Center 54,M,1,"Indoor Drinking Fountain, Indoor"," (-73.9651300857608,40.756481418811035)"
E,"Under Tree, In Shade",Central Park,M,1,"E, Under Tree, In Shade"," (-73.96870625908174,40.77942692954391)"
E High Low,"Under Tree, Out in Open, In Playground",Ciccarone Park,X,2,"E High Low, Under Tree, Out in Open, In Playground"," (-73.88657843724127,40.856030784203014)"
E,,Travers Park,Q,1,"E,"," (-73.8891157231159,40.75382652825392)"
Indoor Drinking Fountain,Indoor,Kosciuszko Pool,B,1,"Indoor Drinking Fountain, Indoor"," (-73.94875244506609,40.69129382753899)"
A,"Out in Open, Just Outside Playground",The Painter's Playground,Q,1,"A, Out in Open, Just Outside Playground"," (-73.8607518538637,40.720634264065176)"
A,Near Ballfield,Dr. Green Playground,B,1,"A, Near Ballfield"," (-73.90706942110113,40.66717189045582)"
Indoor Drinking Fountain,Indoor,Crotona Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.89534670712827,40.840033102945014)"
A,"Out in Open, Just Outside Playground",Mazzei Playground,X,1,"A, Out in Open, Just Outside Playground"," (-73.85824056931783,40.86259381692942)"
C,In Playground,Kennedy Playground,Q,1,"C, In Playground"," (-73.77935109405628,40.7709770068628)"
D,"Under Tree, Out in Open",College  Fields,Q,1,"D, Under Tree, Out in Open"," (-73.83878821141921,40.777932474889425)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.95935160168357,40.57505373322262)"
Bottle Filler High Low,,Garrison Playground,X,3,"Bottle Filler High Low,"," (-73.92833498197677,40.817398630053326)"
C,In Playground,Bill Brown Playground,B,1,"C, In Playground"," (-73.94578676494933,40.591613154077656)"
C,"In Shade, In Playground",Bleecker Playground,M,1,"C, In Shade, In Playground"," (-74.00561465538794,40.73635231019605)"
C,"Under Tree, In Shade",Grant Park,X,1,"C, Under Tree, In Shade"," (-73.9118017746641,40.83778159593801)"
D,"Under Tree, In Playground",Saratoga Park,B,1,"D, Under Tree, In Playground"," (-73.91954222035753,40.68470044592304)"
A,In Playground,Louis Pasteur Park,Q,1,"A, In Playground"," (-73.73492448589441,40.76213588548127)"
A,"In Shade, Just Outside Playground",Alley Pond Park,Q,1,"A, In Shade, Just Outside Playground"," (-73.7411948128765,40.74196808796244)"
F and Dog,Out in Open,Torsney Playground,Q,2,"F and Dog, Out in Open"," (-73.92164121824358,40.747300719150644)"
Bottle Filler High Low,,Fairview Park,R,1,"Bottle Filler High Low,"," (-74.23156913738956,40.53247437729034)"
A,"In Playground, Under Tree",Jackie Robinson Park,M,1,"A, In Playground, Under Tree"," (-73.93980887290986,40.827887080165084)"
A,Under Tree,Frank Principe Park,Q,1,"A, Under Tree"," (-73.9045985831213,40.72698173769778)"
F High Low,"Under Tree, Just Outside Playground, Near Ballfield",Tecumseh Playground,M,2,"F High Low, Under Tree, Just Outside Playground, Near Ballfield"," (-73.97851509690874,40.78194505023269)"
B,"Under Tree, Just Outside Playground",Union Square Park,M,1,"B, Under Tree, Just Outside Playground"," (-73.98996099499846,40.73599374879931)"
A,Just Outside Playground,Harvey Park,Q,1,"A, Just Outside Playground"," (-73.82380410507456,40.782202563972284)"
CS Concrete,In Playground,Raymond Bush Playground,B,1,"CS Concrete, In Playground"," (-73.93943857473018,40.68659029631838)"
E and Dog,,Central Park,M,2,"E and Dog,"," (-73.95464882999669,40.790471526648155)"
Bottle Filler High Low,,Faber Pool and Park,R,0,"Bottle Filler High Low,"," (-74.13511069913046,40.640699461221566)"
A,"Under Tree, In Shade, In Playground",Merriam Playground,X,1,"A, Under Tree, In Shade, In Playground"," (-73.92678331459693,40.84033305990144)"
A,"Under Tree, In Playground",St. Andrew's Playground,B,1,"A, Under Tree, In Playground"," (-73.94192648402338,40.6789944480962)"
B,"Under Tree, In Shade, Out in Open, In Playground",Railroad Playground,B,1,"B, Under Tree, In Shade, Out in Open, In Playground"," (-73.91381058001484,40.648926373288454)"
Indoor Drinking Fountain,Indoor,Chelsea Park,M,1,"Indoor Drinking Fountain, Indoor"," (-74.00083945512412,40.74985284810603)"
A,In Shade,Detective Keith L Williams Park,Q,1,"A, In Shade"," (-73.78503319693438,40.70318723462277)"
B,Out in Open,Central Park,M,1,"B, Out in Open"," (-73.95950999893027,40.79075829673841)"
C,"Out in Open, In Playground",Edmonds Playground,B,1,"C, Out in Open, In Playground"," (-73.97154476094008,40.689107832194324)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.98672289313475,40.572407376044794)"
Bottle Filler High Low,In Playground,St. Mary's Park,B,3,"Bottle Filler High Low, In Playground"," (-73.99712198014672,40.67631980317012)"
C,"Out in Open, Near Ballfield, Under Tree",Breukelen Ballfields,B,1,"C, Out in Open, Near Ballfield, Under Tree"," (-73.89065753262187,40.6514456772913)"
E,"Out in Open, Just Outside Playground",Seth Low Playground/ Bealin Square,B,1,"E, Out in Open, Just Outside Playground"," (-73.98596757865417,40.60907927024921)"
A,Out in Open,Ocean Hill Playground,B,1,"A, Out in Open"," (-73.91223778911505,40.67419288474587)"
A,"Near Ballfield, Under Tree",Ravenswood Playground,Q,1,"A, Near Ballfield, Under Tree"," (-73.93504336108533,40.76265194119681)"
CS Metal,,Hunts  Playground,X,1,"CS Metal,"," (-73.88590212769002,40.81423095162349)"
A,Near Ballfield,Kissena Park,Q,1,"A, Near Ballfield"," (-73.81144055148486,40.74719466020166)"
A,Out in Open,Seton Park,X,1,"A, Out in Open"," (-73.91645520794323,40.8863853944794)"
B,"Near Ballfield, Under Tree, In Shade",Central Park,M,1,"B, Near Ballfield, Under Tree, In Shade"," (-73.95976417697737,40.792071745886396)"
Bottle Filler High Low,Out in Open,Randall's Island Park,M,3,"Bottle Filler High Low, Out in Open"," (-73.9188874524465,40.79545480626596)"
C,"In Playground, In Shade, Under Tree",Castle Hill Playground,X,1,"C, In Playground, In Shade, Under Tree"," (-73.85288308299175,40.838959123270435)"
A,"Out in Open, Under Tree",Flushing Meadows Corona Park,Q,1,"A, Out in Open, Under Tree"," (-73.84200036633455,40.74037394852612)"
C,Near Ballfield,St. Nicholas Park,M,1,"C, Near Ballfield"," (-73.95039738246079,40.81400869628537)"
A,Near Ballfield,John V. Lindsay East River Park,M,1,"A, Near Ballfield"," (-73.97520448652763,40.715800187246906)"
E High Low,Out in Open,St. James Park,X,2,"E High Low, Out in Open"," (-73.89853230864944,40.86529712681362)"
Bottle Filler Fountain,Indoor,Roy Wilkins Recreation Center,Q,2,"Bottle Filler Fountain, Indoor"," (-73.76951537340256,40.687241587398276)"
Indoor Drinking Fountain,Indoor,St. Mary's Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.9141034401238,40.81146817750372)"
A,"In Playground, Under Tree",Bland Playground,Q,1,"A, In Playground, Under Tree"," (-73.83117156516535,40.75818595822231)"
Trough,Out in Open,Rockaway Beach,Q,1,"Trough, Out in Open"," (-73.83610438407652,40.577756443950484)"
C,Near Ballfield,Bronx Park,X,1,"C, Near Ballfield"," (-73.87022953901621,40.85296114551739)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.96462938746022,40.574727598477665)"
D,In Playground,Kelly Park Playground,B,1,"D, In Playground"," (-73.95633663556045,40.604577387721726)"
E High Low,"In Playground, Under Tree",Fort Washington Park,M,2,"E High Low, In Playground, Under Tree"," (-73.94776950207634,40.84023143692381)"
A,Out in Open,Gorman Playground,Q,1,"A, Out in Open"," (-73.88405191935165,40.76184701797883)"
Trough,Out in Open,Van Cortlandt Park,X,1,"Trough, Out in Open"," (-73.897479486287,40.89060903529821)"
Bottle Filler High Low,"Under Tree, Out in Open",Dutch Kills Playground,Q,3,"Bottle Filler High Low, Under Tree, Out in Open"," (-73.9331209716093,40.757512022626216)"
Indoor Drinking Fountain,Indoor,Forest Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.8583908814521,40.69839673993816)"
C,In Playground,Maria Hernandez Park,B,1,"C, In Playground"," (-73.9242414998328,40.703016733535144)"
F High Low,Near_Ballfield,John V. Lindsay East River Park,M,2,"F High Low, Near_Ballfield"," (-73.97382994085692,40.722196120931414)"
A,"Under Tree, Near Ballfield, In Shade",Osborn Playground,B,1,"A, Under Tree, Near Ballfield, In Shade"," (-73.90618328412984,40.655666353387595)"
E,Just Outside Playground,Central Park,M,1,"E, Just Outside Playground"," (-73.96392369163094,40.777289489722094)"
CS Metal,Just Outside Playground,Bronx River Parkway,X,1,"CS Metal, Just Outside Playground"," (-73.86695328552571,40.88431155506896)"
E,In Playground,Russell Pedersen Playground,B,1,"E, In Playground"," (-74.03622126815483,40.62641691896806)"
Bottle Filler High Low,"Out_in_Open,Near_Ballfield",Frank Golden Park,Q,3,"Bottle Filler High Low, Out_in_Open,Near_Ballfield"," (-73.83458119290297,40.78520101180543)"
Trough,In Playground,Hunter's  South Park,Q,1,"Trough, In Playground"," (-73.96041575312482,40.74309709527425)"
C,In Playground,Cambria Playground,Q,1,"C, In Playground"," (-73.74219452610468,40.688688242427816)"
D,"Under Tree, Out in Open, Near Ballfield",Monsignor Crawford Field,B,1,"D, Under Tree, Out in Open, Near Ballfield"," (-73.9158741027049,40.6147527219141)"
A,"Out in Open, Near Ballfield",Parade Ground,B,1,"A, Out in Open, Near Ballfield"," (-73.96642667225402,40.6518949627199)"
Bottle Filler Fountain,"Out in Open, Near Ballfield",Heckscher Playground,B,2,"Bottle Filler Fountain, Out in Open, Near Ballfield"," (-73.91818870004563,40.69530632720893)"
A,Under Tree,Detective William T. Gunn Playground,Q,1,"A, Under Tree"," (-73.73178169568445,40.731268646116646)"
E and Dog,Under Tree,Isham Park,M,2,"E and Dog, Under Tree"," (-73.91928665246915,40.869820037567564)"
A,Under Tree,Juniper Valley Park,Q,1,"A, Under Tree"," (-73.87734738017261,40.720434958418274)"
C,Under Tree,Baisley Pond Park,Q,1,"C, Under Tree"," (-73.7877345490433,40.67418187350767)"
A,,Wingate Park,B,1,"A,"," (-73.94457312014293,40.657691528523756)"
D,"In Playground, Out in Open",Whitestone Playground,Q,1,"D, In Playground, Out in Open"," (-73.80842593808578,40.791887795350064)"
Indoor Drinking Fountain,Indoor,Bushwick Inlet Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.9605965880941,40.72191385914254)"
D,"Out in Open, Near Ballfield",McGuire Fields,B,1,"D, Out in Open, Near Ballfield"," (-73.90001393896193,40.6203910624502)"
F and Dog,In Playground,Pugsley Creek Park,X,2,"F and Dog, In Playground"," (-73.85609768284884,40.814153318302864)"
Indoor Drinking Fountain,Indoor,Forest Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.83549546225706,40.710770108439206)"
A,Near Ballfield,Linnaeus Park,Q,1,"A, Near Ballfield"," (-73.75140028451645,40.753865818617186)"
Indoor Drinking Fountain,Indoor,Haffen Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.83876078153462,40.87432350856469)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.9454310957402,40.57657307277936)"
Trough,,The High Line,M,1,"Trough,"," (-74.0082817037582,40.73981532009086)"
D,"Under Tree, In Playground",Stop & Go Playground,X,1,"D, Under Tree, In Playground"," (-73.8989384642872,40.8448611003192)"
B,In Playground,Marcus Garvey Park,M,1,"B, In Playground"," (-73.94373247579473,40.80593143701841)"
A,Just Outside Playground,Soundview Park,X,1,"A, Just Outside Playground"," (-73.87356298753475,40.81947019797402)"
CS Metal,Just Outside Playground,Ferry  Park,X,2,"CS Metal, Just Outside Playground"," (-73.82626402613498,40.82012099961012)"
E High Low,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,2,"E High Low, Out in Open"," (-74.07800479212811,40.57867167306874)"
CS Concrete,Out in Open,Flushing Meadows Corona Park,Q,1,"CS Concrete, Out in Open"," (-73.84569117084109,40.737072693344786)"
Double A,Out in Open,Flushing Meadows Corona Park,Q,2,"Double A, Out in Open"," (-73.83718267826563,40.733514186911265)"
C,Out in Open,,B,1,"C, Out in Open"," (-73.99651593210916,40.689851063755754)"
E,Under Tree,City Hall Park,M,1,"E, Under Tree"," (-74.00515385145142,40.71283130360797)"
CS Metal,In Shade,Bensonhurst Park,B,1,"CS Metal, In Shade"," (-73.99993807900395,40.59782139867742)"
Indoor Drinking Fountain,Indoor,Commodore Barry Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.97772704446864,40.697852284990496)"
E High Low,"In Playground, Out in Open",Central Park,M,2,"E High Low, In Playground, Out in Open"," (-73.95651213594542,40.78764087657337)"
B,,Riverside Park,M,1,"B,"," (-73.985331347609,40.783127457814196)"
E High Low,Near Ballfield,Samuel Seabury Playground,M,2,"E High Low, Near Ballfield"," (-73.95058194141633,40.78520377236533)"
A,Near Ballfield,Horace Harding Playground,Q,1,"A, Near Ballfield"," (-73.86095259541281,40.73342825209715)"
A,Out in Open,Central Park,M,1,"A, Out in Open"," (-73.95498148124406,40.796487075002396)"
Bottle Filler High Low,"Near Ballfield, Under Tree, Just Outside Playground",St. Nicholas Playground North,M,3,"Bottle Filler High Low, Near Ballfield, Under Tree, Just Outside Playground"," (-73.94698341046764,40.81223837851033)"
C,Near Ballfield,Van Voorhees Playground,B,1,"C, Near Ballfield"," (-73.99970114059523,40.69080265147553)"
CS Concrete,In Playground,Ethan Allen Playground,B,1,"CS Concrete, In Playground"," (-73.88681473569041,40.65577893501761)"
Trough,Out in Open,The High Line,M,1,"Trough, Out in Open"," (-74.00193610696644,40.75226627516638)"
C,Under Tree,Faber Pool and Park,R,0,"C, Under Tree"," (-74.13574283643253,40.641056690382165)"
E and Dog,"Under Tree, In Shade",Central Park,M,2,"E and Dog, Under Tree, In Shade"," (-73.96547704079563,40.77560408976612)"
E,Under Tree,Leif Ericson Park,B,1,"E, Under Tree"," (-74.01067034405904,40.63003698758198)"
D,"Under Tree, Just Outside Playground, Near Ballfield",Sara D. Roosevelt Park,M,1,"D, Under Tree, Just Outside Playground, Near Ballfield"," (-73.99128756218997,40.722622926134676)"
CS Metal,Out in Open,Dean Playground,B,1,"CS Metal, Out in Open"," (-73.9729275684851,40.68053051564239)"
Bottle Filler High Low,Out in Open,Prospect Park,B,3,"Bottle Filler High Low, Out in Open"," (-73.96985666573741,40.66080284282792)"
A,Under Tree,Frontera Park,Q,1,"A, Under Tree"," (-73.89540202140262,40.724776599945365)"
E and Dog,Out in Open,Dimattina Playground,B,2,"E and Dog, Out in Open"," (-74.00306850470236,40.67981793258155)"
E,"In Playground,Under_Tree,In_Shade,Out_in_Open,In_Playground",Fort Washington Park,M,1,"E, In Playground,Under_Tree,In_Shade,Out_in_Open,In_Playground"," (-73.94603057323395,40.83896486044136)"
A,Out in Open,Riverside Park,M,1,"A, Out in Open"," (-73.96419102431756,40.81154526024623)"
Indoor Drinking Fountain,Indoor,Brownsville Playground,B,1,"Indoor Drinking Fountain, Indoor"," (-73.90278394172616,40.65622334615274)"
E,Out in Open,Sylvan Grove Cemetery,R,1,"E, Out in Open"," (-74.19250697632565,40.591001423913674)"
E,Under Tree,Prospect Park,B,1,"E, Under Tree"," (-73.97358225548372,40.65640185137434)"
A,Under Tree,Linden Park,B,1,"A, Under Tree"," (-73.88730209861464,40.658242457831264)"
D,Out in Open,Riverside Park South,M,1,"D, Out in Open"," (-73.99227638209375,40.77489174135481)"
A,"Out in Open, Under Tree",Riverside Park,M,1,"A, Out in Open, Under Tree"," (-73.96963278782188,40.80671148414531)"
D,In Playground,Boerum Park,B,1,"D, In Playground"," (-73.99042922905407,40.68462908263089)"
Indoor Drinking Fountain,Indoor,Pelham Bay Park,X,2,"Indoor Drinking Fountain, Indoor"," (-73.79391642002638,40.86700472641553)"
E,"In Playground, Under Tree, In Shade",Irving Square Park,B,1,"E, In Playground, Under Tree, In Shade"," (-73.90880933294608,40.69281815924027)"
Bottle Filler Fountain,"In Playground, Out in Open",Brooklyn Bridge Park,B,2,"Bottle Filler Fountain, In Playground, Out in Open"," (-74.00136473977179,40.69270374744479)"
D,Just Outside Playground,Beach 9 Playground,Q,1,"D, Just Outside Playground"," (-73.74608302326126,40.59513869376146)"
Bottle Filler High Low,In Playground,Lyons Square Playground,X,3,"Bottle Filler High Low, In Playground"," (-73.88816991055846,40.82270637412441)"
A,Out in Open,Red Hook Recreation Area,B,1,"A, Out in Open"," (-74.0043994318115,40.67304795470494)"
Bottle Filler High Low,Out in Open,Concrete Plant Park,X,3,"Bottle Filler High Low, Out in Open"," (-73.88526277813091,40.824286423480096)"
E High Low,Near Entrance,Hunts  Playground,X,2,"E High Low, Near Entrance"," (-73.88622415232842,40.81414169822743)"
A,Near Ballfield,John Golden Park,Q,1,"A, Near Ballfield"," (-73.76971862345277,40.77330172342176)"
A,"Out in Open, Near Ballfield",Red Hook Recreation Area,B,1,"A, Out in Open, Near Ballfield"," (-74.00560879807102,40.67195825984818)"
B,Under Tree,Riverside Park,M,1,"B, Under Tree"," (-73.9751339863347,40.79717330631414)"
C,In Playground,Davis Playground,R,1,"C, In Playground"," (-74.08596823437438,40.64234637617811)"
A,"Near Ballfield, Just Outside Playground",Marie Curie Playground,Q,1,"A, Near Ballfield, Just Outside Playground"," (-73.77186741161425,40.756505812094346)"
A,Under Tree,Rocket Playground,Q,1,"A, Under Tree"," (-73.84618602979063,40.670579757913195)"
C,Near Ballfield,Leif Ericson Park,B,1,"C, Near Ballfield"," (-74.01914632214599,40.635171736360334)"
C,Out in Open,St. Albans Park,Q,1,"C, Out in Open"," (-73.77972998970635,40.69303348849963)"
A,"In Playground, Under Tree",Abraham Lincoln Playground,M,1,"A, In Playground, Under Tree"," (-73.93689190732788,40.81210337167227)"
C,Near Ballfield,John V. Lindsay East River Park,M,1,"C, Near Ballfield"," (-73.97439795312285,40.71968567547498)"
Bottle Filler Fountain,Indoor,Prospect Park,B,2,"Bottle Filler Fountain, Indoor"," (-73.97370645920105,40.666899529466434)"
A,Near Ballfield,Baisley Pond Park,Q,1,"A, Near Ballfield"," (-73.78838490452105,40.67056174366752)"
C,In Playground,McKinley Park,B,1,"C, In Playground"," (-74.0169173290446,40.62652456885537)"
C,Out in Open,Rockaway Beach Boardwalk,Q,1,"C, Out in Open"," (-73.82926156071676,40.57966123463506)"
A,"Out in Open, Near Ballfield",Cunningham Park,Q,1,"A, Out in Open, Near Ballfield"," (-73.76864162333601,40.736097362415585)"
E,"In Shade, Under Tree",Central Park,M,1,"E, In Shade, Under Tree"," (-73.96726043666096,40.784740074357245)"
D,In Playground,Marine Park,B,1,"D, In Playground"," (-73.92637398686408,40.606495519995306)"
A,Under Tree,Kaltenmeier Playground,R,1,"A, Under Tree"," (-74.06856332171687,40.61484950618542)"
E,"Out in Open, Under Tree",Cadman Plaza Park,B,1,"E, Out in Open, Under Tree"," (-73.99114051668018,40.697272975995254)"
A,Under Tree,Inwood Hill Park,M,1,"A, Under Tree"," (-73.92138981036987,40.870487261384135)"
A,"Out in Open, Near Ballfield",Cunningham Park,Q,1,"A, Out in Open, Near Ballfield"," (-73.77026264471104,40.73569714548337)"
A,Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Near Ballfield"," (-74.08306917888979,40.574093216136845)"
Indoor Drinking Fountain,Indoor,Prospect Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.97455123694687,40.66536689733823)"
Trough,"Out in Open, Just Outside Playground",Estella Diggs Park,X,1,"Trough, Out in Open, Just Outside Playground"," (-73.9064675681541,40.829068499927835)"
A,Just Outside Playground,Owl's Head Park,B,1,"A, Just Outside Playground"," (-74.0309828990796,40.63981947775264)"
A,"Under Tree, In Shade, In Playground",Clement Clarke Moore Park,M,1,"A, Under Tree, In Shade, In Playground"," (-74.00410576051061,40.74661845690151)"
A,Out in Open,Brookville Park,Q,1,"A, Out in Open"," (-73.74202930676597,40.66279275709816)"
A,Out in Open,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Out in Open"," (-74.0906063593984,40.56887191924813)"
C,Under Tree,Tremont Park,X,1,"C, Under Tree"," (-73.89392334984046,40.84601623346243)"
D,Near Ballfield,LaGuardia Landing Lights,Q,1,"D, Near Ballfield"," (-73.89001672544825,40.762240909794066)"
D,Near_Ballfield,Montbellier Park,Q,1,"D, Near_Ballfield"," (-73.75687043716883,40.67444772680972)"
Other,north east corner of plaza,The Battery,M,1,"Other, north east corner of plaza"," (-74.01299033255626,40.70222216322705)"
A,"Under Tree, Near Ballfield, In Shade",Parade Ground,B,1,"A, Under Tree, Near Ballfield, In Shade"," (-73.96961708342931,40.64909332667493)"
B,"Out in Open, Near Ballfield, Under Tree",Riverside Park,M,1,"B, Out in Open, Near Ballfield, Under Tree"," (-73.98750385176048,40.781805833291806)"
A,Out in Open,Pelham Bay Park,X,1,"A, Out in Open"," (-73.79049170894469,40.86964487171627)"
Bottle Filler High Low,Near Ballfield,Pelham Bay Park,X,3,"Bottle Filler High Low, Near Ballfield"," (-73.82222970159874,40.84888173188501)"
C,"Under Tree, Near Ballfield",Tanahey Playground,M,1,"C, Under Tree, Near Ballfield"," (-73.99457717633796,40.71037539948273)"
A,Near Ballfield,Dyker Beach Park,B,1,"A, Near Ballfield"," (-74.02011425361687,40.60469296493198)"
A,Out in Open,Silver Lake Park,R,1,"A, Out in Open"," (-74.09346100714173,40.62613802903979)"
Trough,Out in Open,Rockaway Beach Boardwalk,Q,1,"Trough, Out in Open"," (-73.81534082919515,40.58328052034632)"
A,"Just Outside Playground, Under Tree",Flushing Meadows Corona Park,Q,1,"A, Just Outside Playground, Under Tree"," (-73.84961008002799,40.741964008759076)"
C,Out in Open,Tudor Park,Q,1,"C, Out in Open"," (-73.84809520672721,40.67147010318035)"
